Reason,Source,Validation,Pages
Excluded by ‘noindex’ tag,Website,Not Started,89
Alternate page with proper canonical tag,Website,Not Started,32
Not found (404),Website,Not Started,3
Discovered - currently not indexed,Google systems,Not Started,204
Crawled - currently not indexed,Google systems,Not Started,14
Page with redirect,Website,Started,89
Redirect error,Website,Started,1
