Date,Not indexed,Indexed,Impressions
2026-05-31,,,0
2026-06-01,41,6,18
2026-06-02,205,32,23
2026-06-03,205,32,58
2026-06-04,205,32,71
2026-06-05,205,32,55
2026-06-06,354,247,39
2026-06-07,354,247,39
2026-06-08,354,247,130
2026-06-09,432,415,200
2026-06-10,432,415,234
2026-06-11,432,415,114
2026-06-12,432,415,6
