"Date","Clicks","Impressions","Avg. CTR"
"6/2/2026 12:00:00 AM","0","0","0"
"6/3/2026 12:00:00 AM","0","0","0"
"6/4/2026 12:00:00 AM","0","0","0"
"6/5/2026 12:00:00 AM","0","0","0"
"6/6/2026 12:00:00 AM","0","0","0"
"6/7/2026 12:00:00 AM","0","0","0"
"6/8/2026 12:00:00 AM","0","0","0"
"6/9/2026 12:00:00 AM","0","0","0"
"6/10/2026 12:00:00 AM","0","0","0"
"6/11/2026 12:00:00 AM","0","0","0"
"6/12/2026 12:00:00 AM","0","0","0"
"6/13/2026 12:00:00 AM","0","0","0"
"6/14/2026 12:00:00 AM","0","0","0"
"6/15/2026 12:00:00 AM","0","0","0"
"6/16/2026 12:00:00 AM","0","0","0"
"6/17/2026 12:00:00 AM","0","0","0"
"6/18/2026 12:00:00 AM","0","1","0"
"6/19/2026 12:00:00 AM","0","0","0"
"6/20/2026 12:00:00 AM","0","2","0"
"6/21/2026 12:00:00 AM","0","1","0"
